Date : 2021-09-06 10:28:56
Directory : e:\github\makejun168\Front-end-Architecture
Total : 134 files,  11341 codes, 436 comments, 2365 blanks, all 14142 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Markdown   |         47 |      8,895 |          1 |      1,801 |     10,697 |
| JavaScript |         61 |      1,757 |        279 |        475 |      2,511 |
| HTML       |          8 |        370 |          0 |         25 |        395 |
| TypeScript |          7 |        188 |        156 |         57 |        401 |
| JSON       |          7 |         99 |          0 |          7 |        106 |
| XML        |          4 |         32 |          0 |          0 |         32 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                 | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                    |        134 |     11,341 |        436 |      2,365 |     14,142 |
| .idea                                                                                |          4 |         32 |          0 |          0 |         32 |
| Angular                                                                              |          1 |          1 |          0 |          0 |          1 |
| CSS                                                                                  |          7 |        792 |          0 |        136 |        928 |
| CSS\Flex                                                                             |          5 |        292 |          0 |         37 |        329 |
| CSS\Flex\demo                                                                        |          4 |        156 |          0 |         13 |        169 |
| CSS\SCSS                                                                             |          1 |        421 |          0 |         75 |        496 |
| Git                                                                                  |          2 |        694 |          0 |        115 |        809 |
| HTML                                                                                 |          1 |        758 |          0 |        131 |        889 |
| HTTP                                                                                 |         10 |        363 |          5 |        163 |        531 |
| HTTP\HTTP 网络                                                                         |          5 |         66 |          5 |         32 |        103 |
| InterView                                                                            |          1 |         95 |          0 |         21 |        116 |
| Javascript                                                                           |         60 |      4,254 |        333 |        909 |      5,496 |
| Javascript\ES6                                                                       |          1 |         97 |          0 |         32 |        129 |
| Javascript\JS                                                                        |         13 |      2,115 |        142 |        426 |      2,683 |
| Javascript\JS\example                                                                |          6 |        110 |        142 |         29 |        281 |
| Javascript\Promise规范以及应用                                                             |          4 |        648 |         80 |         99 |        827 |
| Javascript\RegExp                                                                    |          1 |         86 |          0 |         23 |        109 |
| Javascript\埋点                                                                        |          3 |         96 |         15 |         30 |        141 |
| Javascript\手写面试题                                                                     |          4 |         77 |         11 |         27 |        115 |
| Javascript\手写面试题\Answer                                                              |          3 |         76 |         11 |         27 |        114 |
| Javascript\手写面试题\Answer\Events                                                       |          1 |         43 |          7 |         18 |         68 |
| Javascript\手写面试题\Code                                                                |          1 |          1 |          0 |          0 |          1 |
| Javascript\模块化                                                                       |         20 |        641 |         53 |        163 |        857 |
| Javascript\模块化\工程化                                                                   |         16 |        250 |         50 |         55 |        355 |
| Javascript\模块化\工程化\src                                                               |         13 |        204 |         34 |         51 |        289 |
| Javascript\模块化\工程化\src\amd                                                           |          3 |         83 |         10 |         17 |        110 |
| Javascript\模块化\工程化\src\cmd                                                           |          5 |         89 |         22 |         18 |        129 |
| Javascript\模块化\工程化\src\cmj                                                           |          1 |         16 |          0 |          5 |         21 |
| Javascript\设计模式                                                                      |          7 |        158 |         25 |         58 |        241 |
| Javascript\跨域                                                                        |          1 |         30 |          6 |          9 |         45 |
| Javascript\路由                                                                        |          3 |         64 |          1 |         19 |         84 |
| Javascript\路由\history路由                                                              |          1 |         30 |          1 |          8 |         39 |
| Javascript\路由\哈希路由                                                                   |          1 |         31 |          0 |         10 |         41 |
| Javascript\造轮子                                                                       |          2 |        168 |          0 |          7 |        175 |
| Javascript\闭包                                                                        |          1 |         74 |          0 |         16 |         90 |
| Node                                                                                 |         23 |        605 |         97 |        177 |        879 |
| Node\Express                                                                         |          1 |          1 |          0 |          0 |          1 |
| Node\Koa                                                                             |          1 |        110 |          0 |         11 |        121 |
| Node\基础模块                                                                            |         18 |        278 |         85 |        126 |        489 |
| Node\基础模块\Buffer                                                                     |          2 |          6 |         18 |         23 |         47 |
| Node\基础模块\CommonJs                                                                   |          4 |         35 |          1 |         18 |         54 |
| Node\基础模块\Even-Loop                                                                  |          4 |         86 |         36 |         28 |        150 |
| Node\基础模块\Example                                                                    |          4 |         65 |         16 |         21 |        102 |
| Node\基础模块\Global                                                                     |          1 |         11 |          1 |          5 |         17 |
| Node\基础模块\Stream                                                                     |          3 |         75 |         13 |         31 |        119 |
| Node\爬虫                                                                              |          3 |        216 |         12 |         40 |        268 |
| OAuth                                                                                |          2 |         24 |          0 |         10 |         34 |
| Python                                                                               |          1 |        284 |          0 |         94 |        378 |
| React                                                                                |          4 |      1,272 |          0 |        208 |      1,480 |
| React\React 源码                                                                       |          2 |        804 |          0 |        114 |        918 |
| Study                                                                                |          1 |         36 |          0 |          6 |         42 |
| TypeScript                                                                           |          1 |         40 |          0 |          8 |         48 |
| Vue                                                                                  |          2 |        344 |          1 |         67 |        412 |
| Work                                                                                 |          1 |        357 |          0 |         63 |        420 |
| 数据库                                                                                  |          2 |        160 |          0 |         46 |        206 |
| 数据库\Mongodb                                                                          |          1 |        112 |          0 |         36 |        148 |
| 数据库\Redis                                                                            |          1 |         48 |          0 |         10 |         58 |
| 构建工具                                                                                 |          3 |        515 |          0 |         86 |        601 |
| 构建工具\Webpack                                                                         |          2 |        514 |          0 |         86 |        600 |
| 构建工具\gulp                                                                            |          1 |          1 |          0 |          0 |          1 |
| 算法                                                                                   |          4 |        531 |          0 |        101 |        632 |
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                             | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| e:\github\makejun168\Front-end-Architecture\.idea\Front-end-Architecture.iml         | XML        |         12 |          0 |          0 |         12 |
| e:\github\makejun168\Front-end-Architecture\.idea\jsLibraryMappings.xml              | XML        |          6 |          0 |          0 |          6 |
| e:\github\makejun168\Front-end-Architecture\.idea\modules.xml                        | XML        |          8 |          0 |          0 |          8 |
| e:\github\makejun168\Front-end-Architecture\.idea\vcs.xml                            | XML        |          6 |          0 |          0 |          6 |
| e:\github\makejun168\Front-end-Architecture\Angular\README.md                        | Markdown   |          1 |          0 |          0 |          1 |
| e:\github\makejun168\Front-end-Architecture\CSS\Flex\README.md                       | Markdown   |        136 |          0 |         24 |        160 |
| e:\github\makejun168\Front-end-Architecture\CSS\Flex\demo\01.html                    | HTML       |         33 |          0 |          3 |         36 |
| e:\github\makejun168\Front-end-Architecture\CSS\Flex\demo\02.html                    | HTML       |         40 |          0 |          3 |         43 |
| e:\github\makejun168\Front-end-Architecture\CSS\Flex\demo\03.html                    | HTML       |         41 |          0 |          4 |         45 |
| e:\github\makejun168\Front-end-Architecture\CSS\Flex\demo\04.html                    | HTML       |         42 |          0 |          3 |         45 |
